"Korea, Rep.",KOR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.10E+12
Kosovo,KSV,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Kuwait,KWT,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.10E+11
Kyrgyz Republic,KGZ,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,8886594659
Lao PDR,LAO,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,9753707888
Latvia,LVA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,29999531129
Lebanon,LBN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,38884148932
Lesotho,LSO,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2493381046
Liberia,LBR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1100389291
Libya,LBY,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,80864581232
Liechtenstein,LIE,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Lithuania,LTU,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,48473632137
Luxembourg,LUX,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,31779425806
"Macao SAR, China",MAC,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,17925205653
"Macedonia, FYR",MKD,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,16044807364
Madagascar,MDG,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,15537093713
Malawi,MWI,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,8268474989
Malaysia,MYS,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,3.01E+11
Maldives,MDV,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1561853891
Mali,MLI,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,11655456275
Malta,MLT,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,8488026196
Marshall Islands,MHL,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Mauritania,MRT,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,5868422986
Mauritius,MUS,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,12628351002
Mexico,MEX,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.30E+12
"Micronesia, Fed. Sts.",FSM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,334165577.4
Moldova,MDA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,8491642652
Monaco,MCO,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Mongolia,MNG,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,7289666695
Montenegro,MNE,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,5163300589
Morocco,MAR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.08E+11
Mozambique,MOZ,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,13906009356
Myanmar,MMR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Namibia,NAM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,10827002303
Nepal,NPL,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,26021817153
Netherlands,NLD,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,5.73E+11
New Caledonia,NCL,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
New Zealand,NZL,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.05E+11
Nicaragua,NIC,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,12668882015
Niger,NER,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,7924152247
Nigeria,NGA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.45E+11
Northern Mariana Islands,MNP,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Norway,NOR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.20E+11
Oman,OMN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,51135023338
Pakistan,PAK,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,3.40E+11
Palau,PLW,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,256999359
Panama,PAN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,29684275264
Papua New Guinea,PNG,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,11374365124
Paraguay,PRY,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,23006126111
Peru,PER,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.76E+11
Philippines,PHL,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.61E+11
Poland,POL,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,5.26E+11
Portugal,PRT,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.25E+11
Puerto Rico,PRI,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Qatar,QAT,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,57068650912
Romania,ROM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.03E+11
Russian Federation,RUS,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.70E+12
Rwanda,RWA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,7733818367
