Indicator Name,Indicator Code,Country Name,Country Code,2008,2009,2010,2011
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Japan,JPN,5.14E+12,4.82E+12,5.01E+12,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Jordan,JOR,14523640730,14861364471,15323100298,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kazakhstan,KAZ,37305454672,37753120128,40509097897,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kenya,KEN,17530752659,17985175222,18938389509,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kiribati,KIR,75173029.04,74681961.2,76026236.5,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Korea, Dem. Rep.",PRK,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Korea, Rep.",KOR,7.51E+11,7.54E+11,8.00E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kosovo,KSV,3154742430,3246229961,3376079159,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kuwait,KWT,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kyrgyz Republic,KGZ,2000825963,2058575694,2030624399,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Lao PDR,LAO,2948199301,3171011668,3470506471,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Latvia,LVA,13722705688,11258794724,11220120363,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Lebanon,LBN,24564306468,26652272518,28517931595,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Lesotho,LSO,982670537.2,1012715841,1046135464,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Liberia,LBR,561096581.1,586840213.7,619202725.5,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Libya,LBY,48368325616,49384060454,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Liechtenstein,LIE,2954882284,2920680062,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Lithuania,LTU,20287746250,17296985000,17527068250,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Luxembourg,LUX,27270323848,25825285723,26516904700,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Macao SAR, China",MAC,14372334348,14604057564,18454282744,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Macedonia, FYR",MKD,4536485007,4494737198,4575642468,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Madagascar,MDG,5186794028,4949331455,5026822443,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Malawi,MWI,2381036476,2561995248,2743896911,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Malaysia,MYS,1.40E+11,1.37E+11,1.47E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Maldives,MDV,1242121180,1161721578,1276279070,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Mali,MLI,3798680051,3969620653,4148253583,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Malta,MLT,4615727013,4463408022,4603782204,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Marshall Islands,MHL,126882296.2,125193062.6,131705868.8,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Mauritania,MRT,1534965565,1516236055,1592148932,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Mauritius,MUS,6185646375,6373345225,6630525389,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Mayotte,MYT,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Mexico,MEX,7.00E+11,6.57E+11,6.92E+11,
